DRIVER,CUSTID,LOCATION,CLUB_NAME,STARTS,WINS,AVG_START_POS,AVG_FINISH_POS,AVG_POINTS,TOP25PCNT,LAPS,LAPSLEAD,AVG_INC,CLASS,IRATING,TTRATING,TOT_CLUBPOINTS,CHAMPPOINTS
"Daniel Schön","32745","DE","DE-AT-CH",988,585,1,3,113,786,17115,10717,4.75,"B 2.47",7854,2789,6175,111973
"Dave Gelink","28656","NL","Benelux",929,316,4,5,141,637,21936,4868,4.13,"A 4.25",7834,2097,8959,131280
"Kay Kaschube","62842","DE","DE-AT-CH",449,263,2,3,177,369,10810,3947,5.61,"P 3.83",7822,1591,6202,79445
"Logan Clampitt","119681","US","California Club",568,258,4,4,102,380,8124,3446,4.1,"A 3.50",7791,1364,999,57907
"Patrick Pichler","121275","AT","DE-AT-CH",321,103,3,4,143,218,7077,2125,5.44,"P 3.41",7789,2054,4198,45928
"Wyatt Gooden","15826","US","Texas",440,281,3,3,156,372,10870,6059,2.33,"P 3.39",7781,1613,4954,68607
"Robert R Hartley","53101","US","Carolina",1005,423,4,3,104,716,14060,5796,3.07,"A 3.21",7698,1311,5569,104974
"Roland Ehnström","50060","SE","Scandinavia",186,102,3,3,147,157,5249,2291,1.72,"A 4.99",7694,2696,1539,27417
"Anthony Kernich","65082","AU","Australia/NZ",675,323,3,4,98,438,12549,5656,1.99,"A 4.99",7670,2055,6064,66241
"Joni Takanen","179719","FI","Finland",485,137,3,4,124,319,8993,1950,2.86,"P 4.64",7668,1379,4354,60168
"Jeffrey Rietveld","26407","NL","Benelux",465,292,2,3,139,378,10610,7181,2.29,"A 4.70",7644,2420,4902,64827
"Rocco Barone","64851","IT","Italy",759,302,3,5,125,482,17224,6551,4.84,"P 3.05",7644,1794,6527,94559
"Juan E Lopez","140004","US","New York",654,259,4,4,115,484,11964,3957,4.76,"P 3.50",7618,1497,7699,75172
"Aday Coba Lopez","119518","ES","Iberia",897,591,2,2,143,702,14878,6961,3.26,"P 3.54",7607,1391,5228,128119
"Luccas Zacca","123418","BR","Brazil",398,272,1,2,126,322,6057,3841,3.31,"A 3.50",7590,2055,3506,50206
"Enzo Bonito","67157","IT","Italy",445,237,3,5,110,290,10490,4651,5.91,"P 1.30",7528,1296,2512,49031
"Nils Koch","111542","DE","DE-AT-CH",267,71,4,5,136,168,5348,1152,4.14,"P 3.90",7520,1462,2935,36181
"Jarrad Filsell","127870","AU","Australia/NZ",243,76,4,5,132,155,6011,1971,6,"P 3.69",7504,1361,2467,32138
"Kimmo Suominen","26065","FI","Finland",1427,765,3,3,132,1015,29737,9602,3.37,"A 3.51",7489,2423,11552,188243
"Marlon J McMullen","76278","AU","Australia/NZ",631,185,5,5,125,403,17055,4703,6.07,"A 3.83",7488,1596,4896,79104
"Mario Bertolotti","84932","IT","Italy",422,158,3,4,133,291,9029,3584,3.58,"P 3.80",7460,2174,4826,55977
"Marcello Pagnan","125395","IT","Italy",1268,623,3,3,104,921,16872,8140,4.47,"A 4.99",7456,2385,7302,132241
"Norbert Sulzer","36322","AT","DE-AT-CH",792,417,3,3,136,629,13745,6527,2.56,"A 4.78",7454,1838,7475,107404
"Tapani Linnaluoto","35896","FI","Finland",799,232,4,5,138,551,20539,6128,2.81,"P 4.80",7434,1288,8947,110067
"Marc Perez","194657","ES","Iberia",418,97,5,5,141,298,8629,1675,3.65,"A 3.11",7426,1350,5163,59094
"Evan Maillard","30552","FR","France",398,135,5,4,131,257,8768,1760,3.51,"A 3.50",7401,1906,2301,52318
"Jonas Wallmeier","122282","DE","DE-AT-CH",452,73,8,7,91,187,8259,1219,6.53,"P 3.49",7394,1385,3968,40968
"Daniel Cuevas Amador","245354","ES","Iberia",533,180,4,5,116,363,11839,3991,6.24,"A 2.34",7393,1350,6935,62059
"Richard Eklund","93950","US","New York",661,284,3,3,116,460,11231,4494,5.43,"B 2.61",7373,1562,1503,76752
"Dado Opacak","173766","HR","Central-Eastern Europe",841,112,6,7,143,519,18538,2051,4.29,"P 2.47",7369,1678,10518,120635
"PJ Stergios","18823","US","New England",773,205,6,5,122,480,22381,5196,3.16,"P 3.43",7367,2109,6776,94488
"Jake Stergios","27868","US","New England",426,154,6,5,128,298,15001,4569,3.23,"P 4.99",7364,2640,3079,54560
"Kalle Ruokola","68284","FI","Finland",1159,465,3,3,123,848,29661,11369,2.47,"A 3.64",7348,2045,10210,143041
"Henri Salminen","58027","FI","Finland",314,134,2,3,136,248,6436,2744,1.93,"A 4.12",7338,2756,2839,42813
"Rens Broekman","27251","NL","Benelux",845,302,4,5,154,581,20506,5240,4.14,"P 4.92",7330,5228,9395,130025
"Nestor Garcia Jr","200432","ES","Iberia",228,107,3,5,154,181,5697,2463,4.93,"P 2.26",7330,1313,3733,35075
"Ethan Grigg-Gault","118940","AU","Australia/NZ",255,128,2,3,153,211,6501,3335,4.8,"B 3.65",7324,1431,2657,39138
"Gerardo Babio Ramos","79495","ES","Iberia",761,317,3,4,99,495,12125,5501,3.41,"A 3.67",7306,2223,6106,75153
"Olli Pahkala","102923","FI","Finland",324,52,6,6,99,168,9395,1488,5.25,"P 2.15",7299,1425,1789,32204
"Lukas Jestädt","124872","DE","DE-AT-CH",331,79,5,5,123,199,5390,1155,4.34,"P 3.99",7288,1285,3472,40735
"Yassine Bebert","169253","FR","France",519,165,3,5,125,354,10099,2746,5.35,"P 2.94",7278,2055,4525,64982
"Justin Brunner","158780","US","Indiana",641,136,4,5,116,355,12965,2543,2.97,"P 4.35",7273,1724,4718,74668
"Julian Rodriguez Moreno","96849","ES","Iberia",629,286,4,4,134,450,11343,5578,4.68,"P 3.88",7268,2101,6018,84371
"Bono Huis","30287","NL","Benelux",128,44,4,4,149,99,3451,1112,3.29,"P 2.62",7243,1362,1236,19128
"Matti Kaidesoja","222130","FI","Finland",230,72,3,4,136,161,5232,1744,5.08,"P 2.01",7221,1796,3080,31228
"Carlos Reyes Aiguadé","90116","ES","Iberia",362,254,2,2,102,291,6899,4727,2.4,"B 3.59",7194,1898,2464,36889
"Tim Berti","110777","DE","DE-AT-CH",569,229,4,5,101,358,13110,4116,3.36,"A 4.99",7191,2149,4736,57394
"Patrick Bieri","99518","CH","DE-AT-CH",450,188,2,3,117,294,9062,2903,3.45,"A 3.30",7141,2134,3424,52500
"Isaac Price","54587","GB","UK and I",386,89,5,6,125,232,10391,2159,4.87,"P 2.57",7140,1465,3717,48096
"Alexandre Ossadtchikh","54720","FI","Finland",963,268,7,5,102,558,15459,3565,5,"B 2.29",7128,1375,6593,98115
"Manu Heikkilä","119044","FI","Finland",1242,336,3,5,90,668,23899,5101,4.24,"A 4.73",7126,1146,8396,111240
"Giuseppe Curri","33238","IT","Italy",375,174,3,3,113,265,6066,2567,2.69,"A 4.99",7124,2378,2015,42429
"Lee Morris","47996","GB","UK and I",285,134,4,4,130,217,4421,1803,2.69,"A 3.41",7108,1290,2404,36960
"Andreas Allmannsberger","121240","DE","DE-AT-CH",379,57,4,7,126,218,10062,1432,5.29,"P 2.44",7094,1954,4285,47940
"Dominic Brennan","91246","GB","UK and I",1389,506,4,4,111,910,21647,7426,2.28,"A 3.09",7091,2104,7940,153601
"Marin S Colak","157244","HR","Central-Eastern Europe",479,141,6,6,125,305,14637,4189,4.26,"P 4.43",7089,1350,4647,59940
"Jürgen Frank","168938","DE","DE-AT-CH",555,157,5,5,112,282,11340,1073,3.92,"A 4.06",7089,1588,4150,61963
"Ivo Howeller","136965","AT","DE-AT-CH",1223,480,3,5,138,904,22240,9801,4.69,"P 1.86",7058,2250,13955,169253
"Richard Hamstead","28805","AU","Australia/NZ",303,81,4,4,160,213,7339,1993,6.93,"P 2.71",7048,1601,3314,48590
"Frank Hermann","15741","DE","DE-AT-CH",318,196,1,2,141,257,5627,3773,2.43,"B 4.85",7041,2568,2332,44933
"Alexander Manea","149203","RO","Central-Eastern Europe",668,124,5,8,102,314,12163,2702,6.64,"P 2.83",7030,1783,5915,67894
"Kamil Franczak","122154","PL","Central-Eastern Europe",365,190,3,4,114,270,5764,2857,4.71,"P 2.03",7022,1399,2143,41567
"Alex Arana","47751","ES","Iberia",507,111,6,7,111,275,10733,2505,4.61,"A 4.99",7020,1683,5014,56307
"Kenneth OKeefe","24386","CA","Canada",1749,997,2,4,115,1275,32068,20171,3.65,"B 3.24",7018,2398,12705,201508
"Arjan de Vreede","29023","NL","Benelux",737,184,4,5,118,435,10682,2953,4.43,"A 3.06",7008,2012,5215,87046
"Andre Boettcher","28810","DE","DE-AT-CH",638,315,3,4,128,469,16212,7055,3.37,"P 2.71",7002,1614,4892,81898
"Mark Jarvis","33099","GB","UK and I",398,159,4,4,110,252,6467,2733,4.64,"B 3.57",6964,2264,3554,44069
"Nicklas Lindqvist","79175","SE","Scandinavia",162,94,2,3,152,132,3366,2125,1.46,"A 4.99",6946,1305,1535,24702
"Tom Vallenthini","99265","LU","Benelux",626,131,5,6,110,351,11405,2226,5.87,"A 3.74",6943,1317,5958,68998
"Todd Honczarenko","42784","US","New Jersey",357,150,3,4,109,242,5928,2361,4.28,"A 4.43",6941,2110,2551,38972
"Martin Vanhove","96630","BE","Benelux",339,114,4,5,123,213,6374,1613,7.42,"A 1.34",6941,2073,3748,41596
"Graham Carroll","35491","GB","UK and I",495,174,5,6,94,285,8922,3116,4.59,"P 3.58",6940,1491,3549,46364
"Jesus Sicilia","116508","ES","Iberia",327,160,3,5,124,209,5516,2503,5.31,"A 1.40",6933,1736,2458,40442
"Damien Mcphee","180862","AU","Australia/NZ",675,272,3,5,109,475,14636,6441,5.93,"A 3.58",6922,1350,8606,73908
"Beau Cubis","73224","AU","Australia/NZ",426,155,4,5,127,283,9468,3001,5.21,"A 2.62",6920,2296,4112,54056
"Sylvain Pommarede","126480","FR","France",480,104,6,7,112,249,11367,2197,5.63,"P 2.57",6920,1356,4335,53724
"Andrew Kahl","83410","AU","Australia/NZ",469,204,3,4,101,292,8205,3315,5.14,"P 4.75",6917,2172,3303,47190
"Giuseppe Iannucci","40102","US","New York",1284,364,3,5,82,681,17110,5230,3.65,"B 4.76",6886,1574,3506,105798
"Andreu Rodriguez","200030","ES","Iberia",334,82,4,6,126,213,7141,1803,6.14,"P 2.79",6882,1743,3793,42217
"Vedran Broz","81667","HR","Central-Eastern Europe",340,209,2,3,90,252,5853,3909,1.79,"A 4.99",6875,2318,2100,30665
"Diego Comuni","59027","GR","Italy",780,213,4,5,118,467,16832,4439,3.74,"A 3.30",6870,1647,6009,93145
"Fabrice Cornelis","228865","BE","Benelux",496,74,6,6,117,254,11682,1086,5.71,"A 2.98",6864,1323,4799,57793
"Jonathan Madden","74345","US","New England",467,146,3,4,115,317,7204,1967,2.47,"A 3.23",6857,1345,3489,53721
"Elmar Erlekotte","30068","DE","DE-AT-CH",311,156,2,2,127,225,5706,3019,2.09,"A 4.99",6855,2203,1564,39552
"Ville Ojakoski","98457","FI","Finland",428,167,4,5,119,294,7310,2963,4.81,"A 2.20",6848,1519,4197,50785
"Cem Bolukbasi","148387","TR","International Club",574,130,7,6,114,343,10058,2095,4.66,"P 2.49",6848,1441,4426,65532
"Santeri Kallunki","153713","FI","Finland",430,62,7,6,113,216,8490,718,5.43,"P 3.43",6838,1718,3881,48619
"Sergio Macias","198525","ES","Iberia",340,90,4,5,123,229,7210,1960,4.34,"A 4.46",6830,1819,3595,41909
"William Levesque","89143","CA","Canada",272,151,2,3,138,200,5949,1864,3.81,"A 3.58",6828,1443,2274,37621
"Richard Towler","16251","GB","UK and I",390,267,2,3,168,337,10214,6139,2.93,"A 2.24",6827,2538,3563,65330
"Mike Matheson","125169","NZ","Australia/NZ",1403,561,3,4,101,897,20059,8923,3.09,"B 3.49",6823,2300,10829,141266
"Sebastian Job","119101","GB","UK and I",827,236,4,6,94,405,14274,3706,5.57,"A 3.44",6822,2629,4610,77967
"Jari Lohtari","99198","EE","Finland",398,212,3,3,122,219,9710,2164,4.2,"A 4.99",6821,1428,1970,48579
"Atze Kerkhof","46424","NL","Benelux",129,57,3,7,88,93,3915,1843,3.03,"A 4.09",6818,1556,675,11357
"Joni Törmälä","48395","FI","Finland",524,168,5,6,100,292,11579,2740,4.33,"P 3.67",6813,1534,3277,52185
"Dariusz Bielawski","59326","GB","UK and I",282,159,2,2,119,226,4866,2826,2.98,"A 4.28",6808,2387,2165,33519
"Alberto Baraldi","22290","IT","Italy",482,211,3,4,131,360,12354,4740,3.2,"A 3.22",6808,2448,3390,63254
"Matt Bussa","31545","US","Illinois",1318,780,3,3,121,1031,20755,12094,5.23,"A 1.78",6796,1478,2138,160023
"Andy Gorton","37997","GB","UK and I",939,102,6,7,110,458,20547,1734,4.78,"P 3.55",6794,1729,7956,102927
"Shawn Purdy","16110","CA","Canada",126,59,2,4,154,109,4246,1811,1.6,"A 4.99",6788,3238,906,19406
"Tommaso Carlà","106195","IT","Italy",379,194,2,5,122,268,9779,4845,4.46,"P 3.88",6787,2175,2512,46226
"Felipe Farinelli","190777","BR","Brazil",282,167,2,3,123,225,4292,2511,3.78,"B 4.47",6778,2110,1936,34612
"Markus Lendermann","143773","SG","Asia",256,111,4,5,126,180,5775,2634,3.02,"P 3.35",6765,1724,3511,32248
"Blair Mckinlay","17355","NZ","Australia/NZ",751,290,3,3,96,466,14333,5495,2.68,"A 4.22",6765,2460,4821,71740
"Massimo Carbognani","124057","IT","Italy",189,56,4,5,137,132,4188,931,2.31,"A 4.99",6754,1424,2467,25907
"Michael Engelage","77584","US","California Club",831,381,2,3,107,586,16579,7790,1.68,"A 4.59",6748,3743,4696,89219
"Frank Giesler2","177156","DE","DE-AT-CH",771,505,2,2,99,559,12972,4251,2.11,"A 4.34",6745,1663,3417,76412
"Dustin Hickmann","182493","DE","DE-AT-CH",688,166,5,5,110,346,15775,2044,6.31,"A 2.59",6745,1509,4786,75420
"Marcus Jensen","177221","DK","Scandinavia",322,33,6,7,115,147,7479,795,5.79,"P 4.47",6726,1955,2222,37027
"Ludwig Ghidi","55484","FR","Benelux",454,320,2,4,108,354,5908,4833,3.56,"A 1.43",6712,1519,4364,49044
"Nico Brandt","49734","DE","DE-AT-CH",256,89,4,4,110,160,6479,2722,1.36,"A 4.99",6708,2166,2178,28129
"Tomoki Konno","105838","JP","Asia",1211,507,5,5,97,764,18818,8217,4.53,"A 3.46",6692,2266,5293,118361
"Marco Luca Abbate","64625","IT","Italy",352,285,2,2,129,213,5954,2924,1.84,"P 4.51",6681,5228,1165,45425
"Angelo Michel","177963","DE","DE-AT-CH",293,57,6,6,130,161,5308,828,4.46,"P 3.30",6657,1350,3485,38091
"Jukka Savolainen","26607","FI","Finland",846,177,4,6,122,488,16882,3502,4.84,"A 3.10",6644,2005,8136,103238
"Sergio Moura","55308","PT","Iberia",633,343,2,3,111,496,8952,4145,4.43,"B 3.39",6637,2514,4028,70354
"Leonardo Corti","172373","CH","DE-AT-CH",1396,763,3,3,109,773,36215,3059,8.05,"A 3.37",6635,1918,6446,152624
"Jamie Fluke","169781","GB","UK and I",342,112,4,5,130,225,7016,2210,3.24,"P 4.59",6628,2259,2404,44316
"Gregor Thomson","145658","GB","UK and I",447,138,4,5,100,271,8217,2522,2.62,"A 4.99",6623,2033,2972,44943
"Riccardo Schiavon","60588","IT","Italy",907,183,5,5,122,550,22387,3705,3.97,"A 3.29",6620,1971,7835,110843
"JJ Nylander","18154","FI","Finland",373,62,4,4,126,217,10022,1365,2.06,"A 4.43",6612,2242,3499,46980
"Francesco Faustini2","219809","IT","Italy",785,250,3,4,100,476,9915,3792,6.05,"D 3.26",6612,1360,501,78508
"Daniil Manaenkov","101385","US","Michigan",381,186,3,3,120,284,6073,2381,4.03,"B 3.34",6609,2104,3087,45670
"Kevin Lewis","37845","US","New England",239,198,1,2,98,211,4018,3332,.87,"B 4.99",6593,1968,1480,23390
"Antti Lepistö","61503","FI","Finland",878,132,5,5,103,462,21727,2813,4.1,"A 3.32",6591,1761,6322,90206
"Peter Read","18070","AU","Australia/NZ",259,122,2,3,129,191,5277,2516,3,"A 3.81",6587,2416,1505,33316
"Eero Nomm","85279","EE","Central-Eastern Europe",315,127,2,3,112,219,6630,2590,3.88,"A 3.10",6570,2253,2206,35157
"Antoine Higelin","61738","FR","France",877,315,5,5,109,551,18740,5145,4.48,"P 3.77",6567,1711,6251,96003
"Jeremy Bouteloup","58168","FR","France",287,57,6,8,109,160,7422,945,4.28,"P 3.70",6560,1499,1450,31391
"Miika Haapanen","157620","FI","Finland",549,128,5,6,120,293,9350,983,3.62,"A 3.40",6560,2099,4446,66106
"James E Crawford","107203","US","Carolina",969,600,3,3,96,543,21319,4254,4.65,"A 2.45",6557,1413,4450,92786
"Jake Hewlett","233304","GB","UK and I",605,135,7,6,113,298,11629,1387,5.39,"B 2.05",6551,1599,4640,68625
"David Jaques","21921","CA","New York",734,231,4,4,100,448,16121,4570,4.81,"A 4.91",6546,2164,4333,73209
"Dekota Fripp","115927","US","West",715,198,4,5,94,400,11418,3415,5,"P 3.41",6546,2016,5601,67088
"Tobias Czerny","90920","DE","DE-AT-CH",330,77,5,5,122,194,8323,1728,2.48,"A 4.83",6545,1971,2602,40298
"Travis Schwenke","101179","US","Ohio",460,175,3,4,88,321,7006,2970,4.15,"A 3.48",6545,1713,3091,40392
"Alain Tessier","59636","FR","France",420,209,2,3,108,305,7169,2789,2.28,"A 4.84",6542,2394,2722,45270
"Frank Giesler","176107","DE","DE-AT-CH",356,198,2,3,99,238,5415,1815,3.13,"B 4.49",6538,1926,1560,35197
"Jesse Nieminen","42606","FI","Finland",217,109,4,6,131,152,5301,2673,4.02,"P 1.09",6537,1446,1641,28378
"Tommi Hahka","127339","FI","Finland",314,138,3,3,111,215,6399,1364,2.98,"P 4.31",6533,2492,2532,34764
"Oliver Merschky","24806","DE","DE-AT-CH",356,159,2,3,125,263,8972,4597,2.66,"A 4.87",6530,2133,2611,44659
"Alejandro Sánchez","219108","ES","Iberia",202,93,3,4,126,149,3445,1635,4.71,"A 2.60",6526,2511,2035,25367
"Simon Zajac","141102","AU","Australia/NZ",701,359,4,4,99,472,10337,5042,4.37,"A 2.29",6507,1608,4798,69117
"Thomas Jordan","123488","AU","Australia/NZ",1430,553,3,5,79,852,22345,9578,4.52,"A 3.23",6506,2102,9474,113216
"Marius Golombeck","58649","DE","DE-AT-CH",282,155,3,4,128,185,6317,2238,5.02,"P 2.97",6505,2620,1754,36047
"Freek Schothorst","221512","NL","Benelux",123,67,2,4,155,100,2464,1071,3.75,"P 3.43",6503,4510,1485,19038
"Pedro Gomes","171028","PT","Iberia",393,181,3,4,93,277,7081,3196,3.31,"A 4.61",6502,1357,2323,36695
"John Emerson","53125","AU","Australia/NZ",600,157,5,5,126,349,13733,3738,4.9,"A 3.40",6491,2301,5020,75620
"Moritz Löhner","244820","DE","DE-AT-CH",258,39,6,7,141,151,4900,687,3.99,"P 3.35",6489,1274,2921,36298
"Rory McCrossan","168648","GB","UK and I",442,130,3,4,113,277,8912,1575,3.7,"A 4.47",6468,1602,3499,49990
"Alex Saunders","131996","US","Illinois",584,170,3,4,109,379,12932,3725,2.42,"A 4.99",6463,1792,5286,63818
"Jon del  Valle","155109","ES","Iberia",800,371,4,6,106,528,13293,7117,4.46,"A 4.99",6461,1713,5326,84973
"Niccolò Cedrati","78283","IT","Italy",406,206,3,3,112,272,7090,2477,4.05,"A 4.36",6458,2075,2179,45428
"Pawel Ledwon","124436","PL","UK and I",134,39,3,5,158,101,2880,728,3.54,"P 2.54",6447,2481,2061,21130
"Pablo Araujo Castro","193385","GB","Iberia",865,217,6,6,70,415,10497,2770,3.88,"A 2.49",6441,1350,2330,60453
"Laurin Heinrich","207175","DE","DE-AT-CH",179,55,6,7,125,108,3438,806,4.25,"P 1.46",6440,1306,1977,22309
"Roque Garcia","175273","AR","Hispanoamérica",656,96,6,6,93,291,12070,1074,4.65,"A 2.61",6439,1411,4510,60724
"Tamás Szabó","119290","HU","Central-Eastern Europe",1044,380,3,5,113,655,17374,5455,5,"P 2.00",6436,1445,4938,117748
"Philippe Leybaert","59042","US","Texas",1310,534,3,5,112,814,19737,8825,5.38,"B 1.45",6436,2544,9448,147352
"Samu Snabb","18021","FI","Finland",882,357,3,3,111,558,15880,4996,3.2,"A 4.99",6432,1744,4604,98285
"Jack Sedgwick","28696","GB","UK and I",580,106,6,7,106,254,11738,1888,5.68,"P 2.46",6432,1479,4100,61746
"Jesper Pedersen","63459","DK","Scandinavia",333,168,4,4,107,217,6797,2512,4.92,"A 3.71",6431,1827,1050,35686
"Dmitri Janis","133618","EE","Central-Eastern Europe",541,110,6,6,95,261,11793,2428,4.68,"A 4.52",6430,1674,3827,51194
"Kim Eriksson","51129","FI","Finland",439,42,6,7,108,207,7493,561,4.89,"A 4.99",6429,1315,3728,47571
"Yonny Mestampo","31913","ES","Iberia",318,123,4,4,111,187,5816,1319,5.53,"A 4.74",6426,2670,2039,35163
"Ief Vangenechten","47666","BE","Benelux",1362,458,5,5,114,721,24187,4989,6.61,"A 2.38",6423,1280,9876,155589
"Paul Ilbrink","61747","NL","Benelux",942,209,6,6,110,486,26039,5422,5.55,"P 3.57",6420,1826,5694,103474
"Angus Waddell","197683","GB","UK and I",448,101,4,6,115,260,7376,1898,5.21,"A 3.27",6416,1553,3925,51534
"Simon Crochart","57557","FR","France",132,55,3,4,122,103,3812,1399,3.75,"A 3.33",6410,2592,775,16070
"Brian Strodtbeck","39150","US","Ohio",373,164,3,3,108,216,7666,1188,3.11,"A 4.99",6409,2477,1947,40463
"Keith Richey","120395","US","West",487,132,5,6,91,220,8948,2832,4.75,"A 4.99",6406,1304,2562,44303
"Ross Balfour","199210","GB","UK and I",260,109,3,4,119,196,4479,1775,4.62,"A 3.60",6405,1806,2987,31012
"Jan-Paul Niehuis","76507","DE","DE-AT-CH",200,129,3,3,123,143,4266,1102,2.65,"A 4.99",6402,2579,1375,24533
"Segundo Martinez","17352","ES","Iberia",306,146,3,3,123,227,6586,2891,1.67,"A 4.01",6385,2828,1927,37490
"Alexander Thiebe","255919","DE","DE-AT-CH",327,64,6,8,113,176,4719,783,6,"A 3.07",6383,1351,3070,37019
"Greg Seitz","117621","US","Northwest",1013,354,3,4,113,685,14483,5152,3.66,"B 4.28",6380,2470,8230,114750
"Teemu Iivonen","73499","SE","Finland",663,237,6,6,132,433,16348,3893,4.59,"A 4.03",6376,1678,6509,87785
"Javi Utreras","215168","US","Florida",1050,138,7,8,82,459,20345,2649,5.78,"A 4.30",6371,1392,7131,85650
"Luigi Nespolino","59708","IT","Italy",1114,155,6,6,125,591,26479,1077,4.35,"A 3.49",6370,1762,8982,138814
"Jan Schwitter","65531","CH","DE-AT-CH",458,124,5,5,122,248,11040,2267,3.94,"A 4.14",6364,1440,3587,56073
"Ilkka Haapala","15808","FI","Finland",155,25,10,11,58,71,6850,697,4.21,"P 4.35",6358,2985,254,8915
"Kevin Vaughn","72528","US","Texas",1081,374,3,4,107,685,17622,6095,4.02,"A 4.28",6358,2024,7505,115317
"Simone Maria Marcenò","153033","IT","Italy",515,149,5,6,108,288,8394,2936,5.78,"B 2.85",6357,2126,3477,55414
"Vasiliy Zaitsev","39248","RU","Central-Eastern Europe",739,164,6,5,97,349,15988,2972,3.24,"A 4.98",6354,1506,3572,71839
"Bruno Fontalba","21435","FR","France",668,82,6,7,114,326,11207,1437,4.86,"A 3.47",6350,1293,5699,76453
"Gianni Vecchio","221200","DE","DE-AT-CH",608,158,5,7,98,302,11079,2087,7.32,"A 3.50",6332,1421,4607,59610
"Fredrik Follestad","31385","NO","Scandinavia",321,144,3,4,116,206,7327,2552,4.94,"A 3.61",6323,1474,2792,37113
"Johnny Guindi","132444","MX","Hispanoamérica",763,194,4,6,90,390,9879,2991,4.69,"B 1.91",6321,2752,5530,68799
"Tony Autridge","83081","NZ","Australia/NZ",652,210,5,5,104,422,12021,3203,4.27,"A 4.80",6321,1302,3760,67997
"Marcus Hamilton","55879","GB","UK and I",1081,369,5,6,90,593,17595,7362,5.23,"A 4.08",6320,2036,4477,97424
"Pashalis Gergis","196481","GR","International Club",247,52,5,5,99,121,4620,917,3.89,"P 3.38",6319,1480,1398,24472
"Dennis Johansen","34512","DK","Scandinavia",2325,913,3,4,111,1609,42770,16679,5.82,"C 3.92",6315,1507,18463,257250
